N,K,Time
7,50,0.04455
15,310,0.50095
9,100,0.09799
14,120,0.33354
16,60,0.45562
3,200,0.38132
5,220,0.32576
8,30,0.05045
15,200,0.45986
7,380,0.35471
18,190,1.13262
12,370,0.40348
18,40,0.65117
19,50,0.80004
11,110,0.1568
6,300,0.32567
8,110,0.08299
4,110,0.09111
15,50,0.37683
9,120,0.10294
14,390,0.42408
5,60,0.03375
4,320,0.6263
14,320,0.4616
6,100,0.06743
16,270,0.76245
6,90,0.05867
18,100,0.95604
9,220,0.17402
15,160,0.41995
15,380,0.79612
13,270,0.43345
7,50,0.07134
4,280,0.66882
6,260,0.3013
17,20,0.56309
18,330,0.7775
5,70,0.04585
11,170,0.25125
14,350,0.3981
9,280,0.19629
12,260,0.26499
16,80,0.44479
3,240,0.53195
9,50,0.07562
11,380,0.31242
5,70,0.04159
13,280,0.30621
19,310,0.85842
13,160,0.26648
15,140,0.39041
15,160,0.4027
11,230,0.21091
4,50,0.02568
7,80,0.05815
14,70,0.32951
8,140,0.10253
8,60,0.0598
16,40,0.42997
19,260,0.84039
4,240,0.40574
18,130,0.68686
4,20,0.00923
10,310,0.23283
15,390,0.48759
19,340,0.96451
16,370,0.54875
16,310,0.51378
3,290,0.7514
10,50,0.10231
13,30,0.22903
4,180,0.22114
10,250,0.18747
10,380,0.2748
11,360,0.44127
15,240,0.47883
10,370,0.3428
17,260,0.65296
6,280,0.26815
10,50,0.10352
10,350,0.29948
19,30,0.82657
9,80,0.08983
11,320,0.25265
8,180,0.12726
15,300,0.48383
5,340,0.5063
6,70,0.05628
8,190,0.13721
8,200,0.14211
6,200,0.19977
15,210,0.42564
11,320,0.25283
5,20,0.01334
12,200,0.25403
7,90,0.06028
5,230,0.26446
19,120,0.87978
5,190,0.18116
19,260,0.93276
19,130,0.83826
17,40,0.56208
15,300,0.46229
8,120,0.08852
3,150,0.21
3,330,1.01314
4,70,0.05245
14,120,0.47799
19,130,0.91658
11,350,0.28258
14,340,0.46003
16,370,0.79285
3,350,1.19808
7,310,0.25952
5,80,0.04953
18,240,0.75081
3,350,1.19236
16,40,0.43431
17,230,0.64266
19,100,0.87801
14,250,0.41596
13,350,0.39103
8,170,0.11802
17,110,0.67579
11,270,0.28011
11,330,0.31871
13,130,0.34469
17,260,0.80778
14,120,0.31857
16,290,0.55396
11,270,0.38513
11,140,0.21394
18,350,0.86088
4,370,0.80608
3,280,0.73527
7,80,0.05739
9,390,0.29406
16,380,0.56057
13,310,0.32865
10,240,0.1863
14,340,0.41162
10,380,0.27374
14,90,0.31093
10,150,0.13906
17,230,0.6557
6,380,0.44578
7,340,0.29781
16,110,0.47519
9,340,0.23614
18,180,0.76388
14,160,0.34634
3,370,1.25878
15,100,0.46653
10,170,0.15182
18,80,0.6895
17,260,0.71936
4,240,0.35251
13,140,0.28693
4,200,0.28296
5,230,0.25908
11,340,0.28131
14,190,0.35887
5,190,0.18613
4,160,0.16766
16,240,0.4949
6,340,0.38668
3,170,0.27329
9,360,0.25176
8,380,0.29289
7,370,0.32667
9,120,0.10472
19,330,0.9254
17,100,0.60597
12,360,0.3282
5,310,0.43598
16,230,0.50018
4,240,0.42178
3,270,0.65215
6,100,0.06792
5,180,0.17492
9,90,0.09444
13,130,0.28175
5,40,0.02183
6,330,0.3648
9,130,0.10839
12,170,0.22255
14,360,1.27803
13,50,0.45694
15,390,0.78807
9,20,0.12431
8,330,0.3356
17,50,0.9483
7,330,0.29781
11,290,0.26069
11,300,0.28049
19,270,0.94392
8,210,0.1473
15,40,0.68676
13,350,0.4077
5,240,0.28335
3,190,0.34462
4,180,0.22287
19,190,1.1005
3,90,0.08462
14,50,0.32574
13,80,0.37152
15,70,0.42504
5,90,0.06308
18,210,0.78057
8,140,0.0968
7,230,0.16686
11,160,0.18223
19,300,0.96987
18,60,0.74055
14,300,0.40293
12,370,0.37737
15,30,0.40305
19,300,0.97456
13,40,0.23387
12,90,0.19619
3,170,0.27961
8,60,0.06115
16,50,0.46896
3,310,0.85149
10,310,0.22114
13,60,0.41121
19,290,1.00752
14,40,0.31777
19,110,1.09378
5,350,0.54529
17,30,0.59337
15,60,0.40023
17,60,0.59571
13,80,0.25336
15,90,0.42951
13,290,0.3355
16,260,0.51676
12,260,0.25165
14,110,0.31338
16,390,0.56293
7,20,0.03069
14,120,0.31354
14,340,0.39061
11,240,0.20937
18,30,0.97152
4,120,0.11096
6,150,0.10544
16,130,0.45753
11,50,0.14589
17,110,0.59706
19,50,0.90152
18,110,0.69416
5,150,0.1238
12,60,0.20085
11,390,0.29804
11,180,0.19792
3,310,0.95784
6,320,0.33377
14,170,0.37705
15,390,0.51096
17,210,0.62587
11,200,0.19828
3,390,1.49835
10,250,0.24253
8,380,0.29082
13,70,0.24301
4,70,0.04414
17,80,0.72951
7,380,0.35388
17,80,0.61827
4,150,0.15989
4,170,0.19907
14,160,0.35069
3,180,0.31099
12,20,0.17602
8,80,0.06807
19,170,0.85906
5,60,0.03598
15,210,0.44542
13,60,0.24402
10,20,0.09609
10,170,0.16515
15,380,0.55582
18,390,0.81973
7,220,0.16753
7,280,0.21752
7,330,0.28611
10,90,0.12436
11,250,0.233
14,140,0.34244
5,190,0.18655
5,100,0.07
3,110,0.12333
13,310,0.41147
18,40,0.71694
11,110,0.1641
9,160,0.12203
6,160,0.12078
3,120,0.13962
16,370,0.64418
10,140,0.13792
3,60,0.04046
17,150,0.65107
6,60,0.04053
9,50,0.07611
8,150,0.10349
18,350,1.05613
4,340,0.73932
16,380,0.56708
19,210,0.88123
18,260,0.93689
4,270,0.48442
12,100,0.22935
8,270,0.19725
5,20,0.01469
18,380,0.99617
9,300,0.21674
11,150,0.19294
15,310,0.66118
13,320,0.47036
16,20,0.44795
13,210,0.53916
6,100,0.13263
16,100,0.59367
5,370,0.75538
11,280,0.28959
7,200,0.18106
17,230,0.91262
16,30,0.56393
19,260,1.14643
18,260,0.99079
4,30,0.01984
13,120,0.37097
5,160,0.18201
14,90,0.43143
11,330,0.49402
6,360,0.65821
7,150,0.1572
3,380,1.59436
15,290,0.57291
5,200,0.24256
19,20,1.21894
19,220,0.89881
3,250,0.5555
17,110,0.62401
17,130,0.6101
8,240,0.16715
7,370,0.33327
14,290,0.40588
6,80,0.04915
3,390,1.43733
5,270,0.34284
19,50,0.82381
4,200,0.27248
11,250,0.22295
5,360,0.56151
11,320,0.26742
10,340,0.26598
19,280,0.93194
19,40,0.78968
9,390,0.27823
18,160,0.73065
13,190,0.27672
19,180,0.87097
14,340,0.40002
6,140,0.09941
4,100,0.07303
6,260,0.24553
4,330,0.75323
14,180,0.34041
13,270,0.37604
6,260,0.24231
9,290,0.20597
15,30,0.36203
6,330,0.36628
